,player,pl_acc,pl_pps,min_start,min_end,shots_count,shots_made,shots_freq,shots_acc
122,Marc Gasol [TOR],44.85981308411215,101.16822429906543,17,18,16,7,5.298013245033113,43.75
123,Jeremy Lin [TOR],42.91417165668663,95.80838323353294,17,18,2,0,0.6622516556291391,0.0
124,Norman Powell [TOR],47.8494623655914,111.29032258064515,17,18,7,4,2.3178807947019866,57.14285714285714
125,Greg Monroe [TOR],49.09090909090909,98.7878787878788,17,18,9,6,2.980132450331126,66.66666666666666
126,Jonas Valanciunas [TOR],55.787476280834916,114.04174573055028,17,18,22,9,7.28476821192053,40.909090909090914
127,OG Anunoby [TOR],45.05208333333333,106.51041666666667,17,18,21,10,6.953642384105961,47.61904761904761
128,Fred VanVleet [TOR],41.289198606271775,101.56794425087108,17,18,22,11,7.28476821192053,50.0
129,Pascal Siakam [TOR],55.032822757111596,118.38074398249452,17,18,31,18,10.264900662251655,58.06451612903226
130,Serge Ibaka [TOR],52.79429250891795,110.93935790725327,17,18,22,10,7.28476821192053,45.45454545454545
131,Kyle Lowry [TOR],41.25177809388336,103.84068278805121,17,18,44,18,14.56953642384106,40.909090909090914
132,Others [TOR],0.0,0.0,17,18,13,8,4.304635761589404,61.53846153846154
133,Danny Green [TOR],46.73202614379085,124.83660130718954,17,18,14,7,4.635761589403973,50.0
134,Kawhi Leonard [TOR],49.9546690843155,109.88213961922031,17,18,42,21,13.907284768211921,50.0
135,CJ Miles [TOR],35.483870967741936,92.1146953405018,19,20,3,1,0.9771986970684039,33.33333333333333
136,Delon Wright [TOR],43.12977099236641,95.22900763358778,19,20,11,2,3.583061889250814,18.181818181818183
137,Marc Gasol [TOR],44.85981308411215,101.16822429906543,19,20,6,3,1.9543973941368078,50.0
138,Jeremy Lin [TOR],42.91417165668663,95.80838323353294,19,20,2,2,0.6514657980456026,100.0
139,Norman Powell [TOR],47.8494623655914,111.29032258064515,19,20,11,7,3.583061889250814,63.63636363636363
140,Greg Monroe [TOR],49.09090909090909,98.7878787878788,19,20,1,0,0.3257328990228013,0.0
141,Jonas Valanciunas [TOR],55.787476280834916,114.04174573055028,19,20,10,7,3.257328990228013,70.0
142,OG Anunoby [TOR],45.05208333333333,106.51041666666667,19,20,13,7,4.234527687296417,53.84615384615385
143,Fred VanVleet [TOR],41.289198606271775,101.56794425087108,19,20,17,3,5.537459283387622,17.647058823529413
144,Pascal Siakam [TOR],55.032822757111596,118.38074398249452,19,20,41,29,13.355048859934854,70.73170731707317
145,Serge Ibaka [TOR],52.79429250891795,110.93935790725327,19,20,46,27,14.98371335504886,58.69565217391305
146,Kyle Lowry [TOR],41.25177809388336,103.84068278805121,19,20,39,16,12.703583061889251,41.02564102564102
147,Others [TOR],0.0,0.0,19,20,11,5,3.583061889250814,45.45454545454545
148,Danny Green [TOR],46.73202614379085,124.83660130718954,19,20,33,13,10.749185667752442,39.39393939393939
149,Kawhi Leonard [TOR],49.9546690843155,109.88213961922031,19,20,63,33,20.521172638436482,52.38095238095239
150,CJ Miles [TOR],35.483870967741936,92.1146953405018,21,22,2,0,0.6493506493506493,0.0
151,Delon Wright [TOR],43.12977099236641,95.22900763358778,21,22,5,2,1.6233766233766234,40.0
152,Marc Gasol [TOR],44.85981308411215,101.16822429906543,21,22,9,5,2.9220779220779223,55.55555555555556
153,Jeremy Lin [TOR],42.91417165668663,95.80838323353294,21,22,1,0,0.3246753246753247,0.0
154,Norman Powell [TOR],47.8494623655914,111.29032258064515,21,22,11,8,3.5714285714285716,72.72727272727273
155,Greg Monroe [TOR],49.09090909090909,98.7878787878788,21,22,1,1,0.3246753246753247,100.0
156,Jonas Valanciunas [TOR],55.787476280834916,114.04174573055028,21,22,6,5,1.948051948051948,83.33333333333334
157,OG Anunoby [TOR],45.05208333333333,106.51041666666667,21,22,9,6,2.9220779220779223,66.66666666666666
158,Fred VanVleet [TOR],41.289198606271775,101.56794425087108,21,22,28,9,9.090909090909092,32.142857142857146
159,Pascal Siakam [TOR],55.032822757111596,118.38074398249452,21,22,47,30,15.25974025974026,63.829787234042556
160,Serge Ibaka [TOR],52.79429250891795,110.93935790725327,21,22,49,21,15.909090909090908,42.857142857142854
161,Kyle Lowry [TOR],41.25177809388336,103.84068278805121,21,22,32,14,10.38961038961039,43.75
162,Others [TOR],0.0,0.0,21,22,8,8,2.5974025974025974,100.0
163,Danny Green [TOR],46.73202614379085,124.83660130718954,21,22,34,17,11.03896103896104,50.0
164,Kawhi Leonard [TOR],49.9546690843155,109.88213961922031,21,22,66,33,21.428571428571427,50.0
165,CJ Miles [TOR],35.483870967741936,92.1146953405018,23,24,0,0,0.0,0.0
166,Delon Wright [TOR],43.12977099236641,95.22900763358778,23,24,6,2,1.8126888217522659,33.33333333333333
167,Marc Gasol [TOR],44.85981308411215,101.16822429906543,23,24,12,4,3.6253776435045317,33.33333333333333
168,Jeremy Lin [TOR],42.91417165668663,95.80838323353294,23,24,3,0,0.9063444108761329,0.0
169,Norman Powell [TOR],47.8494623655914,111.29032258064515,23,24,7,4,2.1148036253776437,57.14285714285714
170,Greg Monroe [TOR],49.09090909090909,98.7878787878788,23,24,2,1,0.6042296072507553,50.0
171,Jonas Valanciunas [TOR],55.787476280834916,114.04174573055028,23,24,9,6,2.719033232628399,66.66666666666666
172,OG Anunoby [TOR],45.05208333333333,106.51041666666667,23,24,9,6,2.719033232628399,66.66666666666666
173,Fred VanVleet [TOR],41.289198606271775,101.56794425087108,23,24,30,14,9.06344410876133,46.666666666666664
174,Pascal Siakam [TOR],55.032822757111596,118.38074398249452,23,24,48,19,14.501510574018127,39.58333333333333
175,Serge Ibaka [TOR],52.79429250891795,110.93935790725327,23,24,40,24,12.084592145015106,60.0
176,Kyle Lowry [TOR],41.25177809388336,103.84068278805121,23,24,41,18,12.386706948640484,43.90243902439025
177,Others [TOR],0.0,0.0,23,24,10,3,3.0211480362537766,30.0
178,Danny Green [TOR],46.73202614379085,124.83660130718954,23,24,33,12,9.969788519637461,36.36363636363637
179,Kawhi Leonard [TOR],49.9546690843155,109.88213961922031,23,24,81,43,24.47129909365559,53.086419753086425
180,CJ Miles [TOR],35.483870967741936,92.1146953405018,25,26,2,2,0.7380073800738007,100.0
181,Delon Wright [TOR],43.12977099236641,95.22900763358778,25,26,0,0,0.0,0.0
182,Marc Gasol [TOR],44.85981308411215,101.16822429906543,25,26,9,6,3.321033210332103,66.66666666666666
183,Jeremy Lin [TOR],42.91417165668663,95.80838323353294,25,26,2,1,0.7380073800738007,50.0
184,Norman Powell [TOR],47.8494623655914,111.29032258064515,25,26,1,1,0.36900369003690037,100.0
185,Greg Monroe [TOR],49.09090909090909,98.7878787878788,25,26,2,1,0.7380073800738007,50.0
186,Jonas Valanciunas [TOR],55.787476280834916,114.04174573055028,25,26,5,4,1.845018450184502,80.0
187,OG Anunoby [TOR],45.05208333333333,106.51041666666667,25,26,3,1,1.1070110701107012,33.33333333333333
188,Fred VanVleet [TOR],41.289198606271775,101.56794425087108,25,26,14,6,5.166051660516605,42.857142857142854
189,Pascal Siakam [TOR],55.032822757111596,118.38074398249452,25,26,57,38,21.03321033210332,66.66666666666666
190,Serge Ibaka [TOR],52.79429250891795,110.93935790725327,25,26,44,20,16.236162361623617,45.45454545454545
191,Kyle Lowry [TOR],41.25177809388336,103.84068278805121,25,26,26,14,9.59409594095941,53.84615384615385
192,Others [TOR],0.0,0.0,25,26,0,0,0.0,0.0
193,Danny Green [TOR],46.73202614379085,124.83660130718954,25,26,50,21,18.45018450184502,42.0
194,Kawhi Leonard [TOR],49.9546690843155,109.88213961922031,25,26,56,28,20.66420664206642,50.0
195,CJ Miles [TOR],35.483870967741936,92.1146953405018,27,28,1,1,0.3389830508474576,100.0
196,Delon Wright [TOR],43.12977099236641,95.22900763358778,27,28,1,1,0.3389830508474576,100.0
197,Marc Gasol [TOR],44.85981308411215,101.16822429906543,27,28,9,4,3.0508474576271185,44.44444444444444
198,Jeremy Lin [TOR],42.91417165668663,95.80838323353294,27,28,1,0,0.3389830508474576,0.0
199,Norman Powell [TOR],47.8494623655914,111.29032258064515,27,28,1,0,0.3389830508474576,0.0
