,player,pl_acc,pl_pps,min_start,min_end,shots_count,shots_made,shots_freq,shots_acc
27,Others [TOR],0.0,0.0,2,2,0,0,0.0,0.0
28,Danny Green [TOR],46.73202614379085,124.83660130718954,2,2,27,14,16.9811320754717,51.85185185185185
29,Kawhi Leonard [TOR],49.9546690843155,109.88213961922031,2,2,27,13,16.9811320754717,48.148148148148145
30,CJ Miles [TOR],35.483870967741936,92.1146953405018,3,3,0,0,0.0,0.0
31,Delon Wright [TOR],43.12977099236641,95.22900763358778,3,3,1,0,0.6289308176100629,0.0
32,Marc Gasol [TOR],44.85981308411215,101.16822429906543,3,3,6,4,3.7735849056603774,66.66666666666666
33,Jeremy Lin [TOR],42.91417165668663,95.80838323353294,3,3,2,0,1.2578616352201257,0.0
34,Norman Powell [TOR],47.8494623655914,111.29032258064515,3,3,2,0,1.2578616352201257,0.0
35,Greg Monroe [TOR],49.09090909090909,98.7878787878788,3,3,0,0,0.0,0.0
36,Jonas Valanciunas [TOR],55.787476280834916,114.04174573055028,3,3,7,2,4.40251572327044,28.57142857142857
37,OG Anunoby [TOR],45.05208333333333,106.51041666666667,3,3,3,2,1.8867924528301887,66.66666666666666
38,Fred VanVleet [TOR],41.289198606271775,101.56794425087108,3,3,11,7,6.918238993710692,63.63636363636363
39,Pascal Siakam [TOR],55.032822757111596,118.38074398249452,3,3,37,18,23.270440251572328,48.64864864864865
40,Serge Ibaka [TOR],52.79429250891795,110.93935790725327,3,3,23,14,14.465408805031446,60.86956521739131
41,Kyle Lowry [TOR],41.25177809388336,103.84068278805121,3,3,15,7,9.433962264150944,46.666666666666664
42,Others [TOR],0.0,0.0,3,3,0,0,0.0,0.0
43,Danny Green [TOR],46.73202614379085,124.83660130718954,3,3,17,10,10.69182389937107,58.82352941176471
44,Kawhi Leonard [TOR],49.9546690843155,109.88213961922031,3,3,35,15,22.0125786163522,42.857142857142854
45,CJ Miles [TOR],35.483870967741936,92.1146953405018,4,4,0,0,0.0,0.0
46,Delon Wright [TOR],43.12977099236641,95.22900763358778,4,4,0,0,0.0,0.0
47,Marc Gasol [TOR],44.85981308411215,101.16822429906543,4,4,10,5,6.5359477124183005,50.0
48,Jeremy Lin [TOR],42.91417165668663,95.80838323353294,4,4,2,0,1.3071895424836601,0.0
49,Norman Powell [TOR],47.8494623655914,111.29032258064515,4,4,0,0,0.0,0.0
50,Greg Monroe [TOR],49.09090909090909,98.7878787878788,4,4,1,1,0.6535947712418301,100.0
51,Jonas Valanciunas [TOR],55.787476280834916,114.04174573055028,4,4,5,2,3.2679738562091503,40.0
52,OG Anunoby [TOR],45.05208333333333,106.51041666666667,4,4,0,0,0.0,0.0
53,Fred VanVleet [TOR],41.289198606271775,101.56794425087108,4,4,8,5,5.228758169934641,62.5
54,Pascal Siakam [TOR],55.032822757111596,118.38074398249452,4,4,25,13,16.33986928104575,52.0
55,Serge Ibaka [TOR],52.79429250891795,110.93935790725327,4,4,24,11,15.686274509803921,45.83333333333333
56,Kyle Lowry [TOR],41.25177809388336,103.84068278805121,4,4,15,5,9.803921568627452,33.33333333333333
57,Others [TOR],0.0,0.0,4,4,0,0,0.0,0.0
58,Danny Green [TOR],46.73202614379085,124.83660130718954,4,4,21,8,13.72549019607843,38.095238095238095
59,Kawhi Leonard [TOR],49.9546690843155,109.88213961922031,4,4,42,26,27.45098039215686,61.904761904761905
60,CJ Miles [TOR],35.483870967741936,92.1146953405018,5,5,0,0,0.0,0.0
61,Delon Wright [TOR],43.12977099236641,95.22900763358778,5,5,0,0,0.0,0.0
62,Marc Gasol [TOR],44.85981308411215,101.16822429906543,5,5,9,6,5.625,66.66666666666666
63,Jeremy Lin [TOR],42.91417165668663,95.80838323353294,5,5,0,0,0.0,0.0
64,Norman Powell [TOR],47.8494623655914,111.29032258064515,5,5,0,0,0.0,0.0
65,Greg Monroe [TOR],49.09090909090909,98.7878787878788,5,5,2,2,1.25,100.0
66,Jonas Valanciunas [TOR],55.787476280834916,114.04174573055028,5,5,7,5,4.375,71.42857142857143
67,OG Anunoby [TOR],45.05208333333333,106.51041666666667,5,5,2,2,1.25,100.0
68,Fred VanVleet [TOR],41.289198606271775,101.56794425087108,5,5,12,8,7.5,66.66666666666666
69,Pascal Siakam [TOR],55.032822757111596,118.38074398249452,5,5,34,20,21.25,58.82352941176471
70,Serge Ibaka [TOR],52.79429250891795,110.93935790725327,5,5,25,15,15.625,60.0
71,Kyle Lowry [TOR],41.25177809388336,103.84068278805121,5,5,25,7,15.625,28.000000000000004
72,Others [TOR],0.0,0.0,5,5,0,0,0.0,0.0
73,Danny Green [TOR],46.73202614379085,124.83660130718954,5,5,20,11,12.5,55.00000000000001
74,Kawhi Leonard [TOR],49.9546690843155,109.88213961922031,5,5,24,10,15.0,41.66666666666667
75,CJ Miles [TOR],35.483870967741936,92.1146953405018,6,6,0,0,0.0,0.0
76,Delon Wright [TOR],43.12977099236641,95.22900763358778,6,6,0,0,0.0,0.0
77,Marc Gasol [TOR],44.85981308411215,101.16822429906543,6,6,6,1,3.8461538461538463,16.666666666666664
78,Jeremy Lin [TOR],42.91417165668663,95.80838323353294,6,6,0,0,0.0,0.0
79,Norman Powell [TOR],47.8494623655914,111.29032258064515,6,6,2,0,1.2820512820512822,0.0
80,Greg Monroe [TOR],49.09090909090909,98.7878787878788,6,6,2,1,1.2820512820512822,50.0
81,Jonas Valanciunas [TOR],55.787476280834916,114.04174573055028,6,6,5,3,3.2051282051282053,60.0
82,OG Anunoby [TOR],45.05208333333333,106.51041666666667,6,6,7,4,4.487179487179487,57.14285714285714
83,Fred VanVleet [TOR],41.289198606271775,101.56794425087108,6,6,6,4,3.8461538461538463,66.66666666666666
84,Pascal Siakam [TOR],55.032822757111596,118.38074398249452,6,6,29,14,18.58974358974359,48.275862068965516
85,Serge Ibaka [TOR],52.79429250891795,110.93935790725327,6,6,29,17,18.58974358974359,58.620689655172406
86,Kyle Lowry [TOR],41.25177809388336,103.84068278805121,6,6,17,8,10.897435897435898,47.05882352941176
87,Others [TOR],0.0,0.0,6,6,0,0,0.0,0.0
88,Danny Green [TOR],46.73202614379085,124.83660130718954,6,6,16,10,10.256410256410257,62.5
89,Kawhi Leonard [TOR],49.9546690843155,109.88213961922031,6,6,37,16,23.71794871794872,43.24324324324324
90,CJ Miles [TOR],35.483870967741936,92.1146953405018,7,7,0,0,0.0,0.0
91,Delon Wright [TOR],43.12977099236641,95.22900763358778,7,7,1,1,0.6666666666666666,100.0
92,Marc Gasol [TOR],44.85981308411215,101.16822429906543,7,7,3,0,2.0,0.0
93,Jeremy Lin [TOR],42.91417165668663,95.80838323353294,7,7,2,0,1.3333333333333333,0.0
94,Norman Powell [TOR],47.8494623655914,111.29032258064515,7,7,2,2,1.3333333333333333,100.0
95,Greg Monroe [TOR],49.09090909090909,98.7878787878788,7,7,0,0,0.0,0.0
